,ts_code,name,limit_amount,trade_date,open,high,low,close,pre_close,change,pct_chg,vol,amount,industry,profits,buy_price,cumsum,buy_price_rate
797,300099.SZ,精准信息,6,20200810,11.36,11.36,11.2,11.36,10.33,1.03,9.971,1519089,1724737.7859999998,电器仪表,-4.16,11.5,-186.59000000000003,1.23
798,002417.SZ,深南股份,4,20200811,10.33,11.36,10.05,11.36,10.33,1.03,9.971,516079,569820.243,软件服务,-3.69,11.89,-190.28000000000003,4.67
800,002506.SZ,协鑫集成,4,20200813,5.5,5.73,5.49,5.73,5.21,0.52,9.9808,3875052,2179754.366,电气设备,-22.68,5.98,-212.96000000000004,4.36
801,300278.SZ,华昌达,4,20200814,6.28,6.4,5.8,6.4,5.82,0.58,9.9656,733126,454169.586,专用机械,6.1,6.64,-206.86000000000004,3.75
802,300278.SZ,华昌达,5,20200817,6.64,7.04,6.03,7.04,6.4,0.64,10.0,1455321,975155.225,专用机械,-11.95,7.4,-218.81000000000003,5.11
805,600589.SH,广东榕泰,3,20200820,5.13,5.69,4.91,5.69,5.17,0.52,10.058,1003350,542009.121,塑料,-17.57,6.02,-236.38000000000002,5.8
811,300313.SZ,天山生物,13,20200902,17.35,19.3,16.79,19.3,16.08,3.22,20.0249,378997,687529.1159999999,农业综合,3.34,19.3,-233.04000000000002,0.0
817,300863.SZ,卡倍亿,6,20200915,94.0,106.25,89.6,106.25,88.54,17.71,20.0023,88001,882923.464,汽车配件,18.51,106.25,-214.53000000000003,0.0
818,300863.SZ,卡倍亿,8,20200916,106.25,127.5,100.01,127.5,106.25,21.25,20.0,84897,975534.7390000001,汽车配件,-1.84,132.0,-216.37000000000003,3.53
819,300881.SZ,盛德鑫泰,4,20200917,47.07,51.85,44.0,51.85,43.21,8.64,19.9954,173974,857771.689,钢加工,-9.45,51.0,-225.82000000000002,-1.64
820,300405.SZ,科隆股份,4,20200918,14.27,16.18,14.27,16.18,13.48,2.7,20.0297,668269,1032565.3929999999,化工原料,-3.31,16.02,-229.13000000000002,-0.99
821,600481.SH,双良节能,4,20200921,4.94,4.94,4.94,4.94,4.49,0.45,10.0223,76604,37842.712,环境保护,17.36,5.12,-211.77000000000004,3.64
823,600481.SH,双良节能,6,20200923,5.9,5.97,5.9,5.97,5.43,0.54,9.9448,604810,359781.19200000004,环境保护,-12.54,6.3,-224.31000000000003,5.53
824,603976.SH,正川股份,3,20200924,63.02,70.18,61.05,70.18,63.8,6.38,10.0,170689,1154732.0159999998,医疗保健,-5.86,71.02,-230.17000000000004,1.2
828,300581.SZ,晨曦航空,6,20201009,31.0,33.7,30.11,33.7,28.08,5.62,20.0142,272376,887025.223,航空,2.7,34.37,-227.47000000000006,1.99
830,300722.SZ,新余国科,7,20201014,86.0,90.02,78.4,90.02,75.02,15.0,19.9947,217573,1853839.06,专用机械,-25.44,89.95,-252.91000000000005,-0.08
832,300819.SZ,聚杰微纤,4,20201016,39.01,44.59,39.01,44.59,37.16,7.43,19.9946,167873,714021.7940000001,化纤,-1.84,46.0,-254.75000000000006,3.16
834,300419.SZ,浩丰科技,6,20201021,10.1,12.44,9.38,12.44,10.37,2.07,19.9614,1802636,1839217.74,软件服务,5.34,12.2,-249.41000000000005,-1.93
835,300781.SZ,因赛集团,5,20201022,52.0,58.44,50.0,54.2,48.7,5.5,11.2936,196440,1054175.0990000002,广告包装,7.24,53.99,-242.17000000000004,-0.39
836,300582.SZ,英飞特,4,20201023,20.85,23.62,20.85,23.62,19.68,3.94,20.0203,533352,1205854.649,半导体,18.85,24.0,-223.32000000000005,1.61
837,300582.SZ,英飞特,6,20201026,24.0,28.34,23.0,28.34,23.62,4.72,19.9831,585725,1490373.0780000002,半导体,-11.16,29.9,-234.48000000000005,5.5
840,300549.SZ,优德精密,6,20201029,26.1,28.28,26.1,28.28,23.57,4.71,19.983,206308,559213.576,专用机械,1.81,28.38,-232.67000000000004,0.35
842,300126.SZ,锐奇股份,6,20201105,11.88,14.84,11.66,14.84,12.37,2.47,19.9677,894851,1131517.513,轻工机械,-19.37,15.05,-252.04000000000005,1.42
844,601702.SH,华峰铝业,3,20201111,7.97,8.35,7.78,8.35,7.59,0.76,10.0132,925594,745537.2,铝,1.24,8.55,-250.80000000000004,2.4
845,300555.SZ,路通视信,4,20201112,12.88,16.08,12.88,16.08,13.4,2.68,20.0,635295,959967.391,通信设备,-16.27,15.84,-267.07000000000005,-1.49
847,600321.SH,正源股份,4,20201116,2.88,3.17,2.69,3.17,2.88,0.29,10.0694,2591983,789863.109,其他建材,-24.12,3.12,-291.19000000000005,-1.58
848,002172.SZ,澳洋健康,3,20201117,3.53,3.53,3.53,3.53,3.21,0.32,9.9688,120917,42683.975999999995,化纤,-14.74,3.61,-305.93000000000006,2.27
