,ts_code,name,limit_amount,trade_date,open,high,low,close,pre_close,change,pct_chg,vol,amount,industry,limit_type,pro,buy_rate
275,000638.SZ,万方发展,3,20170606,13.55,14.14,12.95,14.14,12.85,1.29,10.04,540812,744506.9920000001,软件服务,分歧板,8.44,3.11
279,002695.SZ,煌上煌,2,20170613,19.48,20.66,18.7,20.66,18.78,1.88,10.01,335309,664562.5210000001,食品,一般板,5.19,4.99
287,300633.SZ,开立医疗,3,20170705,22.5,24.78,22.44,24.78,22.53,2.25,9.99,140194,329535.69,医疗保健,一般板,4.82,4.8
288,300633.SZ,开立医疗,4,20170706,25.97,27.26,25.39,27.26,24.78,2.48,10.01,170090,447229.703,医疗保健,一般板,-5.64,4.92
290,002802.SZ,洪汇新材,3,20170718,38.2,41.79,37.99,41.79,37.99,3.8,10.0,95640,382478.89,化工原料,一般板,-3.51,3.02
301,002743.SZ,富煌钢构,3,20170814,14.6,14.99,14.41,14.99,13.63,1.36,9.98,338678,502250.32899999997,钢加工,一般板,-0.58,3.4
303,300678.SZ,中科信息,4,20170817,36.33,39.96,36.0,39.96,36.33,3.63,9.99,69581,264768.917,软件服务,一般板,63.85,5.38
305,603602.SH,纵横通信,3,20170822,46.87,46.87,46.87,46.87,42.61,4.26,10.0,3884,18204.495,通信设备,加速板,44.65,5.82
311,603042.SH,华脉科技,4,20170830,33.0,37.09,32.8,37.09,33.72,3.37,9.99,240167,859021.9959999999,通信设备,一般板,-2.09,-6.23
313,300678.SZ,中科信息,5,20170901,69.58,69.58,69.58,69.58,63.25,6.33,10.01,6425,44709.394,软件服务,一般板,21.27,3.48
315,300692.SZ,中环环保,2,20170912,56.5,58.08,55.0,58.08,52.8,5.28,10.0,114306,656591.504,环境保护,一般板,9.66,-8.26
325,300585.SZ,奥联电子,3,20171010,23.2,24.3,22.83,24.3,22.09,2.21,10.0,84598,199439.775,汽车配件,一般板,3.01,5.68
330,300701.SZ,森霸传感,2,20171017,54.9,59.65,54.54,59.65,54.23,5.42,9.99,82857,474628.44,元器件,一般板,-18.82,3.81
331,300277.SZ,海联讯,3,20171019,12.89,13.17,12.77,13.17,11.97,1.2,10.03,259867,340888.595,软件服务,一般板,15.92,-8.81
335,002846.SZ,英联股份,2,20171026,36.88,39.77,36.35,39.77,36.15,3.62,10.01,150157,574053.805,广告包装,一般板,-9.92,3.57
339,300706.SZ,阿石创,3,20171107,100.3,105.0,98.7,105.0,95.45,9.55,10.01,99954,1029495.182,元器件,一般板,5.07,3.8
340,603938.SH,三孚股份,2,20171109,34.5,38.68,34.18,38.68,35.16,3.52,10.01,158162,572851.433,化工原料,一般板,-3.75,4.42
341,603937.SH,丽岛新材,2,20171114,27.61,29.6,27.55,29.6,26.91,2.69,10.0,325761,944701.579,铝,分歧板,16.55,-8.75
344,002619.SZ,艾格拉斯,3,20171121,7.95,8.48,7.71,8.48,7.71,0.77,9.99,561560,458039.458,互联网,一般板,-13.8,4.95
347,002302.SZ,西部建设,2,20171128,14.8,16.23,14.7,16.23,14.75,1.48,10.03,437127,677600.315,水泥,一般板,1.4,5.48
360,600903.SH,贵州燃气,4,20171225,13.35,13.94,13.1,13.94,12.67,1.27,10.02,713719,974469.15,供气供热,一般板,32.91,3.16
368,002907.SZ,华森制药,5,20180111,33.44,35.29,33.0,35.29,32.08,3.21,10.01,152027,522239.75,化学制药,一般板,0.24,4.85
378,603895.SH,天永智能,4,20180212,58.5,58.51,56.91,58.51,53.19,5.32,10.0,34025,198937.34600000002,专用机械,加速板,-14.39,5.96
380,600579.SH,克劳斯,3,20180222,9.97,10.29,9.9,10.29,9.35,0.94,10.05,27983,28340.592999999997,化工机械,一般板,9.82,4.96
384,600903.SH,贵州燃气,4,20180301,26.55,28.34,24.47,28.34,25.76,2.58,10.02,585329,1584125.616,供气供热,一般板,-1.86,4.09
388,000790.SZ,华神科技,4,20180309,9.44,9.45,9.04,9.45,8.59,0.86,10.01,602527,562947.425,中成药,分歧板,-6.8,3.7
390,000151.SZ,中成股份,3,20180315,14.05,14.73,13.69,14.73,13.39,1.34,10.01,373097,533849.504,商贸代理,一般板,19.79,5.97
392,300624.SZ,万兴科技,8,20180319,97.46,97.48,95.0,97.48,88.62,8.86,10.0,43089,419048.75,软件服务,分歧板,6.41,4.64
404,002908.SZ,德生科技,2,20180416,39.0,42.72,37.55,42.72,38.84,3.88,9.99,180860,719947.05,元器件,一般板,-6.21,5.34
405,002908.SZ,德生科技,3,20180417,45.0,46.99,44.11,46.99,42.72,4.27,10.0,255325,1186758.348,元器件,一般板,-0.07,-10.0
407,002806.SZ,华锋股份,3,20180419,23.3,23.3,23.3,23.3,21.18,2.12,10.01,9425,21962.16,元器件,一般板,19.82,5.15
418,002930.SZ,宏川智慧,4,20180514,41.53,41.53,38.0,41.53,37.75,3.78,10.01,302077,1227288.738,仓储物流,一般板,8.23,5.95
426,603800.SH,道森股份,5,20180525,21.99,21.99,21.99,21.99,19.99,2.0,10.01,19034,41856.866,专用机械,加速板,-1.65,3.64
427,603800.SH,道森股份,6,20180528,22.79,24.19,22.0,24.19,21.99,2.2,10.0,248935,587636.996,专用机械,分歧板,-5.04,-9.96
437,002684.SZ,ST猛狮,3,20180621,9.24,9.5,9.18,9.5,8.64,0.86,9.95,180252,169650.68899999998,电气设备,一般板,9.55,5.26
441,300312.SZ,邦讯技术,4,20180703,9.66,9.66,9.66,9.66,8.78,0.88,10.02,72471,70007.411,通信设备,加速板,-4.52,3.52
451,300586.SZ,美联新材,3,20180720,20.2,20.98,20.1,20.98,19.07,1.91,10.0157,161316,334299.271,化工原料,分歧板,-18.27,4.86
456,000509.SZ,*ST华塑,4,20180730,3.62,3.62,3.51,3.62,3.29,0.33,10.0304,996421,359969.276,医疗保健,分歧板,-1.28,-6.35
466,603032.SH,德新交运,3,20180822,13.66,14.27,13.66,14.27,12.97,1.3,10.0231,162843,229941.223,公路,一般板,0.91,3.5
472,000669.SZ,*ST金鸿,3,20180903,5.49,5.71,5.33,5.71,5.19,0.52,10.0193,618344,348367.66799999995,供气供热,分歧板,8.25,3.85
479,300023.SZ,宝德股份,4,20180914,7.2,7.33,7.06,7.33,6.66,0.67,10.0601,205513,149864.351,专用机械,一般板,20.35,5.46
483,603917.SH,合力科技,3,20180925,17.6,17.66,16.68,17.66,16.05,1.61,10.0312,77104,134972.747,汽车配件,一般板,-8.75,5.32
487,300670.SZ,大烨智能,3,20181011,15.66,17.01,15.06,17.01,15.46,1.55,10.0259,250050,406045.477,电气设备,一般板,9.45,3.82
490,600766.SH,园城黄金,3,20181016,6.21,6.48,6.21,6.48,5.89,0.59,10.017000000000001,76094,48752.879,黄金,加速板,-1.22,3.09
493,000750.SZ,国海证券,4,20181025,3.85,4.26,3.81,4.26,3.87,0.39,10.0775,3892100,1547619.625,证券,一般板,-1.77,4.23
494,000622.SZ,恒立实业,3,20181026,4.15,4.15,4.15,4.15,3.77,0.38,10.0796,16175,6712.67,汽车配件,加速板,61.55,3.61
507,600604.SH,市北高新,11,20181119,10.08,10.08,10.08,10.08,9.16,0.92,10.0437,154059,155292.34900000002,园区开发,加速板,-0.21,4.46
512,002288.SZ,超华科技,6,20181203,5.5,5.68,5.42,5.68,5.16,0.52,10.0775,625873,349913.341,元器件,一般板,-13.22,3.87
513,002288.SZ,超华科技,7,20181204,5.9,6.25,5.68,6.25,5.68,0.57,10.0352,2070239,1260940.33,元器件,分歧板,-8.96,-9.92
515,300175.SZ,朗源股份,3,20181207,5.15,5.35,5.15,5.35,4.86,0.49,10.0823,406023,215761.238,食品,一般板,1.73,-9.91
516,300746.SZ,汉嘉设计,2,20181213,18.99,20.15,18.18,20.15,18.32,1.83,9.9891,118198,227683.12300000002,建筑工程,分歧板,13.64,4.07
522,002927.SZ,泰永长征,5,20181224,36.9,37.64,36.58,37.64,34.22,3.42,9.9942,81650,305290.228,电气设备,一般板,28.38,-9.99
528,601700.SH,风范股份,5,20190103,4.3,4.62,4.11,4.62,4.2,0.42,10.0,916494,408022.902,电气设备,一般板,29.0,4.98
532,601700.SH,风范股份,9,20190109,6.55,6.77,6.3,6.77,6.15,0.62,10.0813,959990,632010.081,电气设备,一般板,-0.84,3.4
535,603220.SH,中贝通信,4,20190114,30.83,30.83,26.88,30.83,28.03,2.8,9.9893,560912,1672394.135,通信设备,分歧板,1.09,-9.67
536,000410.SZ,*ST沈机,3,20190116,8.48,8.48,8.48,8.48,7.71,0.77,9.987,43081,36532.696,机床制造,一般板,-7.06,4.83
539,600218.SH,全柴动力,5,20190125,8.79,9.71,8.52,9.71,8.83,0.88,9.966000000000001,792421,734828.2790000001,农用机械,一般板,-13.49,3.5
544,000862.SZ,银星能源,5,20190212,4.8,4.8,4.8,4.8,4.36,0.44,10.0917,48571,23314.185,新型电力,加速板,34.19,4.17
553,601519.SH,大智慧,6,20190228,7.84,7.84,7.39,7.84,7.13,0.71,9.9579,3101366,2410146.239,软件服务,分歧板,45.42,-9.95
555,002750.SZ,龙津药业,8,20190311,15.52,15.52,14.95,15.52,14.11,1.41,9.9929,504473,777870.55,中成药,分歧板,7.38,3.09
556,002175.SZ,ST东网,8,20190312,7.37,7.72,7.0,7.72,7.02,0.7,9.9715,1306197,989259.928,电器仪表,一般板,-14.46,3.63
557,002175.SZ,ST东网,9,20190313,8.0,8.49,7.76,8.49,7.72,0.77,9.9741,2201459,1828593.38,电器仪表,一般板,-10.33,-10.01
558,600624.SH,复旦复华,6,20190318,11.25,12.09,10.75,12.09,10.99,1.1,10.0091,2451021,2846833.692,化学制药,一般板,34.14,-6.95
559,600624.SH,复旦复华,7,20190319,11.25,13.3,11.15,13.3,12.09,1.21,10.0083,1790751,2228732.045,化学制药,一般板,7.25,5.41
564,000610.SZ,西安旅游,6,20190327,14.04,16.29,14.04,16.29,14.81,1.48,9.9932,976734,1485189.7659999998,旅游服务,一般板,-19.56,3.5
574,600081.SH,东风科技,6,20190417,17.09,18.39,17.09,18.39,16.72,1.67,9.988,523650,932826.442,汽车配件,一般板,-8.44,5.49
581,300405.SZ,科隆股份,4,20190430,13.7,14.18,13.6,14.18,12.89,1.29,10.0078,75981,105665.53199999999,化工原料,一般板,14.67,5.71
583,300405.SZ,科隆股份,6,20190507,17.16,17.16,16.69,17.16,15.6,1.56,10.0,69735,119615.19,化工原料,一般板,-4.3,5.07
591,000713.SZ,丰乐种业,5,20190517,14.99,16.05,14.99,16.05,14.59,1.46,10.0069,718071,1122677.742,种植业,一般板,-31.76,5.92
596,300748.SZ,金力永磁,6,20190530,54.27,54.27,51.01,54.27,49.34,4.93,9.9919,188457,1007225.2690000001,元器件,分歧板,9.72,4.81
604,300615.SZ,欣天科技,7,20190612,37.62,37.62,36.7,37.62,34.2,3.42,10.0,64151,240987.06699999998,元器件,一般板,-27.77,4.2
607,603258.SH,电魂网络,5,20190619,29.59,29.59,29.59,29.59,26.9,2.69,10.0,12905,38185.895,互联网,加速板,10.9,4.77
608,603258.SH,电魂网络,6,20190620,31.0,32.55,29.18,32.55,29.59,2.96,10.0034,251005,780710.902,互联网,分歧板,-1.41,4.45
621,600078.SH,澄星股份,4,20190715,6.09,6.24,5.88,6.24,5.67,0.57,10.0529,977183,597928.926,化工原料,分歧板,7.39,5.77
632,000890.SZ,*ST胜尔,4,20190801,6.26,6.84,6.26,6.84,6.22,0.62,9.9678,1066429,714354.822,钢加工,分歧板,8.81,-7.6
634,300748.SZ,金力永磁,4,20190807,63.0,65.23,60.5,65.23,59.3,5.93,10.0,149159,944823.255,元器件,一般板,-8.99,5.78
636,002949.SZ,华阳国际,5,20190809,29.21,31.75,28.68,31.75,28.86,2.89,10.0139,144956,450148.213,建筑工程,一般板,-22.56,4.22
