,ts_code,name,limit_amount,trade_date,open,high,low,close,pre_close,change,pct_chg,vol,amount,industry,limit_type,pro,buy_rate
394,000151.SZ,中成股份,5,20180321,17.82,17.82,17.82,17.82,16.2,1.62,10.0,40418,72025.713,商贸代理,加速板,-1.94,6.62
395,000151.SZ,中成股份,6,20180322,19.0,19.6,18.61,19.6,17.82,1.78,9.99,482337,923096.233,商贸代理,分歧板,-10.54,0.0
397,300667.SZ,必创科技,5,20180402,62.79,62.79,62.79,62.79,57.08,5.71,10.0,3982,25002.978,电器仪表,加速板,,
403,603383.SH,顶点软件,4,20180412,70.0,71.5,68.0,71.5,65.0,6.5,10.0,129169,913468.546,软件服务,分歧板,-18.66,-0.7
408,002806.SZ,华锋股份,4,20180420,24.5,25.63,23.6,25.63,23.3,2.33,10.0,192022,484130.11100000003,元器件,分歧板,,
412,300597.SZ,吉大通信,4,20180426,22.54,22.54,21.55,22.54,20.49,2.05,10.0,337853,752815.1209999999,通信设备,分歧板,-19.75,1.51
413,002795.SZ,永和智控,4,20180504,19.02,19.73,18.8,19.73,17.94,1.79,9.98,265419,519703.494,机械基件,分歧板,,
414,002795.SZ,永和智控,5,20180507,21.7,21.7,21.7,21.7,19.73,1.97,9.98,71973,156182.929,机械基件,加速板,,
415,002795.SZ,永和智控,6,20180508,23.87,23.87,23.87,23.87,21.7,2.17,10.0,18398,43916.026,机械基件,加速板,,
417,002795.SZ,永和智控,7,20180511,26.26,26.26,26.0,26.26,23.87,2.39,10.01,146836,385564.12,机械基件,分歧板,-3.92,-0.99
422,002930.SZ,宏川智慧,7,20180521,55.28,55.28,55.28,55.28,50.25,5.03,10.01,13670,75572.62400000001,仓储物流,加速板,,
423,002930.SZ,宏川智慧,8,20180522,60.74,60.81,58.0,60.81,55.28,5.53,10.0,312005,1879111.826,仓储物流,分歧板,-3.39,0.28
426,603800.SH,道森股份,5,20180525,21.99,21.99,21.99,21.99,19.99,2.0,10.01,19034,41856.866,专用机械,加速板,-1.65,3.64
427,603800.SH,道森股份,6,20180528,22.79,24.19,22.0,24.19,21.99,2.2,10.0,248935,587636.996,专用机械,分歧板,-5.04,-9.96
432,300647.SZ,超频三,4,20180607,16.8,18.46,16.18,18.46,16.78,1.68,10.01,372038,651558.24,元器件,分歧板,43.5,-3.36
433,002607.SZ,中公教育,4,20180612,12.55,13.74,12.12,13.74,12.49,1.25,10.01,1721656,2227117.684,文教休闲,分歧板,,
435,000019.SZ,深粮控股,4,20180614,13.17,13.17,12.51,13.17,11.97,1.2,10.03,466744,610214.476,其他商业,分歧板,-17.88,-3.34
439,300647.SZ,超频三,4,20180625,26.76,26.76,26.64,26.76,24.33,2.43,9.99,188984,505663.895,元器件,分歧板,13.99,0.0
440,300745.SZ,欣锐科技,6,20180702,90.29,90.29,90.29,90.29,82.08,8.21,10.0,7549,68163.532,汽车配件,加速板,,
