,ts_code,name,limit_amount,trade_date,open,high,low,close,pre_close,change,pct_chg,vol,amount,industry,profits,sum
88,002027.SZ,分众传媒,8,20150914,26.66,26.66,25.32,26.66,24.24,2.42,9.98,890814,2358501.4508,影视音像,3.88,38.069999999999986
89,000025.SZ,特力A,2,20150915,23.5,25.8,23.0,25.8,23.45,2.35,10.02,174579,436844.3324,汽车服务,15.03,53.09999999999999
90,000025.SZ,特力A,3,20150916,28.18,28.38,27.65,28.38,25.8,2.58,10.0,43466,122670.8533,汽车服务,,
91,000025.SZ,特力A,4,20150917,31.22,31.22,31.22,31.22,28.38,2.84,10.01,48078,150101.6702,汽车服务,-3.57,49.52999999999999
92,000025.SZ,特力A,5,20150918,34.0,34.34,29.01,34.34,31.22,3.12,9.99,255874,833049.4734,汽车服务,20.3,69.82999999999998
93,000025.SZ,特力A,6,20150921,34.5,37.77,32.11,37.77,34.34,3.43,9.99,155224,559485.8312,汽车服务,4.39,74.21999999999998
94,000025.SZ,特力A,7,20150922,39.66,41.55,39.35,41.55,37.77,3.78,10.01,163860,672347.8156,汽车服务,3.65,77.86999999999999
95,000025.SZ,特力A,8,20150923,43.5,45.71,41.65,45.71,41.55,4.16,10.01,151175,679092.5527,汽车服务,7.69,85.55999999999999
96,601890.SH,亚星锚链,4,20150924,12.31,12.77,12.18,12.77,11.61,1.16,9.99,596852,757094.559,船舶,-11.06,74.49999999999999
97,000038.SZ,深大通,4,20151009,36.83,38.64,36.51,38.64,35.13,3.51,9.99,24062,91108.273,广告包装,-9.14,65.35999999999999
98,000038.SZ,深大通,5,20151012,42.2,42.5,39.8,42.5,38.64,3.86,9.99,142474,592585.6547,广告包装,-4.48,60.87999999999998
99,300153.SZ,科泰电源,5,20151013,13.7,13.86,13.43,13.86,12.6,1.26,10.0,220713,304506.8312,电气设备,,
100,300153.SZ,科泰电源,6,20151014,15.25,15.25,14.51,15.25,13.86,1.39,10.03,534084,807366.2327,电气设备,12.53,73.40999999999998
101,300191.SZ,潜能恒信,7,20151020,33.01,34.36,31.0,34.36,31.24,3.12,9.99,225126,734160.6698,石油开采,18.55,91.95999999999998
102,300191.SZ,潜能恒信,8,20151021,36.5,37.8,35.88,37.8,34.36,3.44,10.01,214730,803937.6386,石油开采,8.22,100.17999999999998
103,300191.SZ,潜能恒信,9,20151022,39.92,41.58,39.39,41.58,37.8,3.78,10.0,185173,757514.0885,石油开采,,
104,300191.SZ,潜能恒信,10,20151023,45.74,45.74,44.68,45.74,41.58,4.16,10.0,146157,668062.9647,石油开采,-1.08,99.09999999999998
105,000008.SZ,神州高铁,4,20151028,13.01,13.74,12.8,13.74,12.49,1.25,10.01,1116836,1496858.9089,运输设备,-8.86,90.23999999999998
106,300459.SZ,金科文化,4,20160112,24.76,24.76,24.76,24.76,22.51,2.25,10.0,4086,10118.174,互联网,-14.11,76.12999999999998
107,600610.SH,ST毅达,3,20160115,10.78,11.83,10.58,11.83,10.75,1.08,10.05,304324,350537.867,建筑工程,2.93,79.05999999999999
108,600610.SH,ST毅达,4,20160118,12.11,13.01,12.11,13.01,11.83,1.18,9.97,149905,190380.842,建筑工程,11.29,90.35
109,000576.SZ,甘化科工,4,20160119,18.48,20.06,18.0,20.06,18.24,1.82,9.98,208080,406860.7454,综合类,-15.38,74.97
110,600610.SH,ST毅达,5,20160121,13.1,14.31,12.62,14.31,13.01,1.3,9.99,637993,874571.2690000001,建筑工程,0.71,75.67999999999999
111,600610.SH,ST毅达,6,20160122,15.3,15.74,14.81,15.74,14.31,1.43,9.99,431724,668917.37,建筑工程,-7.99,67.69
112,603025.SH,大豪科技,3,20160125,37.3,39.05,36.88,39.05,35.5,3.55,10.0,59918,229290.34,IT设备,-17.85,49.839999999999996
113,600623.SH,华谊集团,3,20160128,18.32,18.32,18.32,18.32,16.65,1.67,10.03,28600,52395.75,汽车配件,,
114,600623.SH,华谊集团,4,20160129,20.15,20.15,20.15,20.15,18.32,1.83,9.99,36918,74390.556,汽车配件,1.98,51.81999999999999
115,000019.SZ,深粮控股,3,20160201,13.52,13.52,12.91,13.52,12.29,1.23,10.01,400837,537832.9111,其他商业,31.7,83.52
116,000019.SZ,深粮控股,4,20160202,13.19,14.87,12.91,14.87,13.52,1.35,9.99,372531,509289.5471,其他商业,17.15,100.66999999999999
117,000019.SZ,深粮控股,5,20160203,14.8,16.36,14.47,16.36,14.87,1.49,10.02,329575,520322.588,其他商业,-1.23,99.43999999999998
118,000019.SZ,深粮控股,6,20160204,17.5,18.0,17.08,18.0,16.36,1.64,10.02,246923,435746.166,其他商业,15.33,114.76999999999998
119,002423.SZ,中粮资本,4,20160217,14.54,14.54,14.54,14.54,13.22,1.32,9.98,32498,47252.5427,多元金融,-4.29,110.47999999999998
120,600288.SH,大恒科技,5,20160222,15.0,17.14,14.88,17.14,15.58,1.56,10.01,1011097,1588923.584,软件服务,-3.03,107.44999999999997
121,002226.SZ,江南化工,4,20160223,9.89,9.89,9.89,9.89,8.99,0.9,10.01,151167,149504.6674,化工原料,-1.13,106.31999999999998
122,000626.SZ,远大控股,4,20160224,65.99,72.03,65.0,72.03,65.48,6.55,10.0,161120,1114095.8057,商贸代理,-7.7,98.61999999999998
123,002741.SZ,光华科技,3,20160226,32.0,33.56,30.8,33.56,30.51,3.05,10.0,333852,1084895.8823,化工原料,-16.79,81.82999999999998
124,603099.SH,长白山,2,20160229,20.01,21.44,19.0,21.44,19.49,1.95,10.01,233776,488453.735,旅游景点,6.76,88.58999999999999
125,600533.SH,栖霞建设,2,20160301,5.85,6.12,5.78,6.12,5.56,0.56,10.07,461518,276193.109,区域地产,7.68,96.26999999999998
126,600533.SH,栖霞建设,3,20160302,6.5,6.73,6.34,6.73,6.12,0.61,9.97,1683125,1111632.386,区域地产,,
127,600533.SH,栖霞建设,4,20160303,7.4,7.4,7.22,7.4,6.73,0.67,9.96,1210710,895181.698,区域地产,-6.22,90.04999999999998
128,000029.SZ,深深房A,4,20160304,13.02,13.02,12.63,13.02,11.84,1.18,9.97,1138548,1475606.7709,区域地产,-4.1,85.94999999999999
129,300222.SZ,科大智能,4,20160321,26.06,26.08,25.52,26.08,23.71,2.37,10.0,132257,344528.1032,电气设备,0.93,86.88
130,000909.SZ,数源科技,4,20160322,19.02,19.02,19.02,19.02,17.29,1.73,10.01,33575,63859.9543,综合类,3.22,90.1
131,000909.SZ,数源科技,5,20160323,20.11,20.92,19.63,20.92,19.02,1.9,9.99,700989,1427066.4075,综合类,-3.21,86.89
132,300264.SZ,佳创视讯,5,20160324,27.53,27.53,27.53,27.53,25.03,2.5,9.99,18322,50440.7413,通信设备,,
133,002323.SZ,*ST雅博,2,20160325,35.43,35.43,35.43,35.43,32.21,3.22,10.0,2507,8883.0096,建筑工程,,
134,002323.SZ,*ST雅博,3,20160328,38.97,38.97,38.97,38.97,35.43,3.54,9.99,11076,43166.2117,建筑工程,7.73,94.62
135,601608.SH,中信重工,2,20160401,5.7,6.01,5.62,6.01,5.46,0.55,10.07,850292,500832.18200000003,专用机械,,
136,601608.SH,中信重工,3,20160405,6.61,6.61,6.51,6.61,6.01,0.6,9.98,620597,409913.93,专用机械,-1.54,93.08
137,601608.SH,中信重工,4,20160406,7.0,7.27,6.89,7.27,6.61,0.66,9.98,3166296,2258092.536,专用机械,-8.48,84.6
138,600671.SH,*ST目药,2,20160408,29.1,32.91,29.08,32.91,29.92,2.99,9.99,61798,195107.74800000002,中成药,-11.47,73.13
139,300506.SZ,名家汇,3,20160413,39.0,42.7,37.76,42.7,38.82,3.88,9.99,149178,601923.5908,建筑工程,8.38,81.50999999999999
140,300506.SZ,名家汇,4,20160414,45.3,46.97,44.0,46.97,42.7,4.27,10.0,66467,303986.2575,建筑工程,-9.18,72.32999999999998
141,600233.SH,圆通速递,2,20160415,40.4,40.46,39.6,40.46,36.78,3.68,10.01,196532,794625.2390000001,仓储物流,-9.79,62.539999999999985
142,000829.SZ,天音控股,3,20160419,14.78,14.78,14.78,14.78,13.44,1.34,9.97,15307,22623.9529,其他商业,,
143,000829.SZ,天音控股,4,20160420,16.26,16.26,16.26,16.26,14.78,1.48,10.01,318385,517694.888,其他商业,-19.26,43.27999999999999
144,002610.SZ,爱康科技,2,20160425,13.35,13.35,13.35,13.35,12.14,1.21,9.97,89445,119409.2886,电气设备,,
145,002610.SZ,爱康科技,3,20160426,14.69,14.69,14.69,14.69,13.35,1.34,10.04,89830,131960.7107,电气设备,,
146,002610.SZ,爱康科技,4,20160427,16.16,16.16,16.16,16.16,14.69,1.47,10.01,128673,207935.6003,电气设备,-2.3,40.97999999999999
147,603399.SH,吉翔股份,2,20160503,9.9,11.18,9.8,11.18,10.16,1.02,10.04,191202,201303.776,小金属,2.0,42.97999999999999
148,300476.SZ,胜宏科技,3,20160506,27.99,28.35,27.2,28.35,25.77,2.58,10.01,547744,1535981.9067,元器件,-15.82,27.15999999999999
149,600429.SH,三元股份,2,20160511,8.2,8.71,7.96,8.71,7.92,0.79,9.97,379502,314653.576,乳制品,-2.0,25.15999999999999
150,300340.SZ,科恒股份,2,20160512,31.55,34.73,30.0,34.73,31.57,3.16,10.01,183717,598385.752,元器件,5.66,30.81999999999999
151,300340.SZ,科恒股份,3,20160513,36.49,38.2,36.01,38.2,34.73,3.47,9.99,123638,464859.906,元器件,-3.8,27.01999999999999
152,300340.SZ,科恒股份,4,20160516,40.5,42.02,37.2,42.02,38.2,3.82,10.0,349618,1396242.0823,元器件,-2.8,24.219999999999988
153,600367.SH,红星发展,3,20160517,12.33,12.33,11.81,12.33,11.21,1.12,9.99,528397,644945.381,化工原料,-10.58,13.639999999999988
154,600232.SH,金鹰股份,4,20160519,12.0,13.11,11.92,13.11,11.92,1.19,9.98,475427,613111.9839999999,纺织,-3.43,10.209999999999988
155,600980.SH,北矿科技,2,20160527,26.8,28.09,26.68,28.09,25.54,2.55,9.98,153479,421028.56799999997,元器件,8.21,18.419999999999987
156,300503.SZ,昊志机电,2,20160530,48.3,51.3,48.3,51.3,46.64,4.66,9.99,90820,451251.7766,机械基件,10.43,28.849999999999987
157,300503.SZ,昊志机电,3,20160531,53.0,56.43,50.57,56.43,51.3,5.13,10.0,69787,369095.143,机械基件,0.25,29.099999999999987
158,002533.SZ,金杯电工,3,20160608,13.89,13.89,12.82,13.89,12.63,1.26,9.98,1391821,1881109.645,电气设备,-10.03,19.069999999999986
159,600571.SH,信雅达,2,20160614,50.85,50.85,49.8,50.85,46.23,4.62,9.99,136940,695675.7459999999,软件服务,-2.96,16.109999999999985
160,002112.SZ,三变科技,4,20160617,25.44,25.44,25.44,25.44,23.13,2.31,9.99,23643,60149.2421,电气设备,-6.64,9.469999999999985
161,002352.SZ,顺丰控股,2,20160621,38.0,43.29,37.78,43.29,39.35,3.94,10.01,420131,1735463.1347,仓储物流,-8.74,0.7299999999999844
162,002703.SZ,浙江世宝,3,20160623,31.0,31.1,29.29,31.1,28.27,2.83,10.01,337522,1031639.9498,汽车配件,2.71,3.4399999999999844
163,000025.SZ,特力A,3,20160627,64.2,67.2,63.5,67.2,61.09,6.11,10.0,152734,1010821.9852,汽车服务,-2.11,1.3299999999999845
164,000025.SZ,特力A,4,20160628,73.0,73.92,71.24,73.92,67.2,6.72,10.0,96836,710608.1614,汽车服务,-2.88,-1.5500000000000154
165,300019.SZ,硅宝科技,3,20160629,17.2,17.2,16.9,17.2,15.64,1.56,9.97,81498,140102.6397,化工原料,-3.97,-5.520000000000016
166,000603.SZ,盛达资源,3,20160705,23.88,24.33,23.11,24.33,22.12,2.21,9.99,615071,1464988.0228,铅锌,0.94,-4.580000000000016
167,002766.SZ,ST索菱,4,20160707,41.0,42.24,40.2,42.24,38.4,3.84,10.0,342440,1436167.6438,汽车配件,-7.54,-12.120000000000015
168,000519.SZ,中兵红箭,2,20160711,15.11,16.08,15.0,16.08,14.62,1.46,9.99,609529,954681.7053,矿物制品,-3.48,-15.600000000000016
169,002314.SZ,南山控股,2,20160719,7.51,7.51,7.51,7.51,6.83,0.68,9.96,13770,10341.3977,区域地产,,
170,002314.SZ,南山控股,3,20160720,8.26,8.26,8.26,8.26,7.51,0.75,9.99,2133,1762.1058,区域地产,-10.28,-25.880000000000017
171,002248.SZ,华东数控,2,20160721,13.12,14.47,12.89,14.47,13.15,1.32,10.04,595416,813518.0121,机床制造,-5.47,-31.350000000000016
172,000813.SZ,德展健康,2,20160726,13.99,15.02,13.81,15.02,13.65,1.37,10.04,104676,152463.4205,化学制药,-8.01,-39.360000000000014
173,600097.SH,开创国际,2,20160728,19.38,19.92,18.69,19.92,18.11,1.81,9.99,424230,823761.882,渔业,-6.81,-46.170000000000016
174,600919.SH,江苏银行,4,20160804,10.92,10.92,10.92,10.92,9.93,0.99,9.97,54760,59798.706,银行,,
175,600919.SH,江苏银行,5,20160805,12.01,12.01,11.2,12.01,10.92,1.09,9.98,5469613,6432869.097999999,银行,1.31,-44.860000000000014
176,000918.SZ,嘉凯城,3,20160808,8.92,9.7,8.83,9.7,8.82,0.88,9.98,1515067,1442632.1739,全国地产,-4.07,-48.930000000000014
177,000638.SZ,万方发展,3,20160817,23.56,24.64,22.5,24.64,22.4,2.24,10.0,621201,1481362.9096,软件服务,-8.95,-57.88000000000001
178,000019.SZ,深粮控股,3,20160818,17.27,18.87,17.11,18.87,17.15,1.72,10.03,884742,1589644.3741,其他商业,-14.27,-72.15
179,002611.SZ,东方精工,4,20160822,14.42,14.42,14.42,14.42,13.11,1.31,9.99,7803,11252.0846,轻工机械,,
180,002611.SZ,东方精工,5,20160823,15.8,15.86,14.42,15.86,14.42,1.44,9.99,640567,976034.0834,轻工机械,-5.76,-77.91000000000001
181,603778.SH,乾景园林,2,20160824,28.31,30.6,28.09,30.6,27.82,2.78,9.99,220932,664449.94,建筑工程,-4.44,-82.35000000000001
182,600353.SH,旭光电子,3,20160826,12.55,14.01,12.23,14.01,12.74,1.27,9.97,636623,842083.194,元器件,-8.66,-91.01
183,002319.SZ,*ST乐通,2,20160902,19.01,19.01,19.01,19.01,17.28,1.73,10.01,5644,10729.7383,染料涂料,,
184,002319.SZ,*ST乐通,3,20160905,20.91,20.91,20.91,20.91,19.01,1.9,9.99,6532,13660.1475,染料涂料,-5.44,-96.45
185,000935.SZ,四川双马,3,20160912,16.7,18.11,16.58,18.11,16.46,1.65,10.02,211663,372501.6202,水泥,,
186,000935.SZ,四川双马,4,20160913,19.89,19.92,19.89,19.92,18.11,1.81,9.99,68010,135348.4664,水泥,,
187,000678.SZ,襄阳轴承,2,20160914,10.2,10.2,10.2,10.2,9.27,0.93,10.03,72830,74287.0998,机械基件,0.65,-95.8
188,002755.SZ,奥赛康,2,20160921,59.38,65.16,56.0,65.16,59.24,5.92,9.99,87988,546354.828,化学制药,-0.72,-96.52
189,000935.SZ,四川双马,5,20160922,21.91,21.91,21.05,21.91,19.92,1.99,9.99,91080,198593.5182,水泥,,
190,002614.SZ,奥佳华,2,20160927,15.48,16.8,14.9,16.8,15.27,1.53,10.02,664437,1044344.6247,医疗保健,-6.38,-102.89999999999999
191,000912.SZ,泸天化,2,20160929,8.65,9.21,8.6,9.21,8.37,0.84,10.04,213009,189950.3191,农药化肥,,
